Product ID,Original Name,New Name,Category,Status
MT-MS-001,atlas-briefcase-vintage,MT-MS-001__atlas-briefcase-vintage,Messenger,renamed
MT-WD-001,atlas-escape-duffle,MT-WD-001__atlas-escape-duffle,Weekender,renamed
MT-MS-002,atlas-field-briefcase,MT-MS-002__atlas-field-briefcase,Messenger,renamed
MT-BP-001,atlas-kilim-backpack,MT-BP-001__atlas-kilim-backpack,Backpack,renamed
MT-WD-002,atlas-kilim-duffle,MT-WD-002__atlas-kilim-duffle,Weekender,renamed
MT-BP-002,atlas-kilim-rucksack,MT-BP-002__atlas-kilim-rucksack,Backpack,renamed
MT-MS-003,atlas-messenger-laptop,MT-MS-003__atlas-messenger-laptop,Messenger,renamed
MT-MS-004,atlas-messenger-laptop-strap,MT-MS-004__atlas-messenger-laptop-strap,Messenger,renamed
MT-WD-003,atlas-weekender-cognac,MT-WD-003__atlas-weekender-cognac,Weekender,renamed
MT-CB-001,classic-cognac-satchel,MT-CB-001__classic-cognac-satchel,Crossbody,renamed
MT-BP-003,cognac-brogue-backpack,MT-BP-003__cognac-brogue-backpack,Backpack,renamed
MT-BP-004,expedition-rolltop-cognac,MT-BP-004__expedition-rolltop-cognac,Backpack,renamed
MT-BP-005,expedition-rolltop-noir,MT-BP-005__expedition-rolltop-noir,Backpack,renamed
MT-BP-006,explorer-rolltop-cognac,MT-BP-006__explorer-rolltop-cognac,Backpack,renamed
MT-BP-007,explorer-rolltop-noir,MT-BP-007__explorer-rolltop-noir,Backpack,renamed
MT-BP-008,heritage-rucksack,MT-BP-008__heritage-rucksack,Backpack,renamed
MT-WD-004,kilim-travel-bag-moutarde,MT-WD-004__kilim-travel-bag-moutarde,Weekender,renamed
MT-BP-009,le-caravanier-chocolate,MT-BP-009__le-caravanier-chocolate,Backpack,renamed
MT-BP-010,le-caravanier-light,MT-BP-010__le-caravanier-light,Backpack,renamed
MT-BP-011,le-nomade,MT-BP-011__le-nomade,Backpack,renamed
MT-TT-001,marrakech-tote-cognac,MT-TT-001__marrakech-tote-cognac,Tote,renamed
MT-BP-012,medina-cargo-rucksack-cognac,MT-BP-012__medina-cargo-rucksack-cognac,Backpack,renamed
MT-BP-013,medina-cargo-rucksack-moutarde,MT-BP-013__medina-cargo-rucksack-moutarde,Backpack,renamed
MT-CB-002,medina-courtyard-crossbody,MT-CB-002__medina-courtyard-crossbody,Crossbody,renamed
MT-CB-003,medina-crossbody-clasp-teal,MT-CB-003__medina-crossbody-clasp-teal,Crossbody,renamed
MT-CB-004,medina-crossbody-cognac,MT-CB-004__medina-crossbody-cognac,Crossbody,renamed
MT-CB-005,medina-crossbody-envelope,MT-CB-005__medina-crossbody-envelope,Crossbody,renamed
MT-CB-006,medina-crossbody-tooled-dark-brown,MT-CB-006__medina-crossbody-tooled-dark-brown,Crossbody,renamed
MT-CB-007,medina-crossbody-tooled-walnut,MT-CB-007__medina-crossbody-tooled-walnut,Crossbody,renamed
MT-WD-005,medina-duffle,MT-WD-005__medina-duffle,Weekender,renamed
MT-TT-002,medina-market-tote-cognac,MT-TT-002__medina-market-tote-cognac,Tote,renamed
MT-BP-014,medina-rucksack-drawstring,MT-BP-014__medina-rucksack-drawstring,Backpack,renamed
MT-BP-015,medina-rucksack-drawstring-chocolate,MT-BP-015__medina-rucksack-drawstring-chocolate,Backpack,renamed
MT-BP-016,medina-rucksack-drawstring-light-brown,MT-BP-016__medina-rucksack-drawstring-light-brown,Backpack,renamed
MT-CB-008,medina-saddlebag-tooled-cognac,MT-CB-008__medina-saddlebag-tooled-cognac,Crossbody,renamed
MT-CB-009,medina-soft-crossbody-walnut,MT-CB-009__medina-soft-crossbody-walnut,Crossbody,renamed
MT-TT-003,medina-zigzag-tote-chocolate,MT-TT-003__medina-zigzag-tote-chocolate,Tote,renamed
MT-CB-010,medina-zip-sling-cognac,MT-CB-010__medina-zip-sling-cognac,Crossbody,renamed
MT-WD-006,oasis-weekender-oxblood,MT-WD-006__oasis-weekender-oxblood,Weekender,renamed
MT-BP-017,vintage-buckle-backpack,MT-BP-017__vintage-buckle-backpack,Backpack,renamed
MT-CB-011,vintage-satchel-light-brown,MT-CB-011__vintage-satchel-light-brown,Crossbody,renamed
MT-CB-012,vintage-satchel-moutarde,MT-CB-012__vintage-satchel-moutarde,Crossbody,renamed
MT-BP-019,woven-leather-backpack,MT-BP-019__woven-leather-backpack,Backpack,renamed
